raw_name,           units,                        long_name
DUSV002,            kg m-2 s-1,                   Dust Convective Scavenging Bin 002
SUPSO4AQ,           kg m-2 s-1,                   SO4 Prod from Aqueous SO2 Oxidation [column] 
SUWT002,            kg m-2 s-1,                   Sulfate Wet Deposition Bin 002 
BCHYPHIL,           kg m-2 s-1,                   Black Carbon Hydrophobic to Hydrophilic
DUSD002,            kg m-2 s-1,                   Dust Sedimentation Bin 002
BCEMAN,             kg m-2 s-1,                   Black Carbon Anthropogenic Emissions
SSDP004,            kg m-2 s-1,                   Sea Salt Dry Deposition Bin 004
OCSV001,            kg m-2 s-1,                   Organic Carbon Convective Scavenging Bin 001 
SSSV001,            kg m-2 s-1,                   Sea Salt Convective Scavenging Bin 001
DUEM003,            kg m-2 s-1,                   Dust Emission Bin 003
SUEM002,            kg m-2 s-1,                   Sulfate Emission Bin 002 
SSEM004,            kg m-2 s-1,                   Sea Salt Emission Bin 004
SSWT001,            kg m-2 s-1,                   Sea Salt Wet Deposition Bin 001
OCEM001,            kg m-2 s-1,                   Organic Carbon Emission Bin 001 
SUPSO4WT,           kg m-2 s-1,                   SO4 Prod from Aqueous SO2 Oxidation (wet dep) [column] 
SSEM001,            kg m-2 s-1,                   Sea Salt Emission Bin 001
SO2EMVE,            kg m-2 s-1,                   SO2 Volcanic (explosive) Emissions 
SUSV001,            kg m-2 s-1,                   Sulfate Convective Scavenging Bin 001 
SSSV004,            kg m-2 s-1,                   Sea Salt Convective Scavenging Bin 004
SUWT004,            kg m-2 s-1,                   Sulfate Wet Deposition Bin 004 
DUWT005,            kg m-2 s-1,                   Dust Wet Deposition Bin 005
DUEM005,            kg m-2 s-1,                   Dust Emission Bin 005
SUWT001,            kg m-2 s-1,                   Sulfate Wet Deposition Bin 001 
SUDP004,            kg m-2 s-1,                   Sulfate Dry Deposition Bin 004 
OCEMBB,             kg m-2 s-1,                   Organic Carbon Biomass Burning Emissions 
BCDP001,            kg m-2 s-1,                   Black Carbon Dry Deposition Bin 001
DUDP004,            kg m-2 s-1,                   Dust Dry Deposition Bin 004
SSEXTTFM,           1,                            Sea Salt Extinction AOT [550 nm] - PM 1.0 um
SSSD003,            kg m-2 s-1,                   Sea Salt Sedimentation Bin 003
